                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.08314,                0.33618,                0.88815,                0.98229,                      1,                  0.995,                  0.995,                 0.2681,                0.45792,                0.38296,                 0.0973,                 0.0003,                 0.0003
                      1,                0.07972,                0.30129,                0.88376,                0.98236,                      1,                  0.995,                  0.995,                0.26333,                0.44694,                0.37581,               0.093693,             0.00069307,             0.00069307
                      2,                0.07554,                0.30074,                0.91023,                0.98163,                      1,                  0.995,                  0.995,                 0.2724,                0.43628,                0.38518,               0.090078,              0.0010782,              0.0010782
                      3,                0.08891,                0.29659,                0.89156,                0.98057,                      1,                  0.995,                  0.995,                0.28143,                0.41436,                  0.394,               0.086455,              0.0014555,              0.0014555
                      4,                0.09229,                0.31399,                0.89963,                0.97663,                      1,                  0.995,                  0.995,                0.29786,                 0.3847,                0.41342,               0.082825,              0.0018248,              0.0018248
                      5,                0.10696,                0.32052,                0.88576,                0.97718,                      1,                  0.995,                  0.995,                0.29764,                  0.398,                0.41343,               0.079186,              0.0021861,              0.0021861
                      6,                0.10923,                0.38424,                0.90425,                0.97928,                      1,                  0.995,                  0.995,                0.35636,                0.36955,                0.49666,                0.07554,              0.0025396,              0.0025396
                      7,                0.11405,                0.33497,                0.91673,                0.97977,                      1,                  0.995,                  0.995,                0.35672,                0.38623,                0.50616,               0.071885,              0.0028852,              0.0028852
                      8,                 0.1313,                0.36965,                0.90908,                0.98063,                      1,                  0.995,                  0.995,                0.32309,                0.38047,                0.44328,               0.068223,              0.0032228,              0.0032228
                      9,                0.12004,                 0.3684,                0.89029,                0.98094,                      1,                  0.995,                  0.995,                0.29908,                0.38529,                0.41636,               0.064553,              0.0035525,              0.0035525
                     10,                0.12829,                0.32966,                0.88595,                0.98178,                      1,                  0.995,                  0.995,                0.25904,                0.40156,                0.36043,               0.060874,              0.0038743,              0.0038743
                     11,                0.13717,                0.35877,                 0.8978,                0.97951,                      1,                  0.995,                  0.995,                 0.2712,                 0.4433,                0.37398,               0.057188,              0.0041882,              0.0041882
                     12,                0.15676,                0.39156,                 0.9106,                0.97984,                      1,                  0.995,                  0.995,                 0.1993,                0.35569,                0.28502,               0.053494,              0.0044941,              0.0044941
                     13,                0.16456,                0.35466,                0.89358,                0.97975,                      1,                  0.995,                  0.995,                0.20692,                0.36073,                0.29168,               0.049792,              0.0047922,              0.0047922
                     14,                0.15584,                0.35611,                0.91881,                0.97642,                      1,                  0.995,                  0.995,                 0.2498,                0.38849,                0.33799,               0.046082,              0.0050823,              0.0050823
                     15,                0.16244,                0.37837,                0.90196,                0.97565,                      1,                  0.995,                  0.995,                0.26765,                0.41505,                 0.3693,               0.042364,              0.0053644,              0.0053644
                     16,                0.15907,                  0.345,                0.94844,                 0.9741,                      1,                  0.995,                  0.995,                0.25913,                0.42494,                0.36237,               0.038639,              0.0056387,              0.0056387
                     17,                0.17095,                0.34764,                0.90138,                0.97991,                      1,                  0.995,                  0.995,                0.23449,                0.36125,                0.32733,               0.034905,              0.0059051,              0.0059051
                     18,                0.17188,                0.36054,                0.91637,                0.97907,                      1,                  0.995,                  0.995,                0.21776,                0.41138,                0.32276,               0.031163,              0.0061635,              0.0061635
                     19,                0.17678,                 0.3717,                0.90015,                0.97655,                      1,                  0.995,                  0.995,                 0.2131,                0.40743,                0.31391,               0.027414,               0.006414,               0.006414
                     20,                0.18941,                0.39767,                0.92416,                 0.9786,                      1,                  0.995,                  0.995,                0.23702,                0.52559,                0.34043,               0.023657,              0.0066566,              0.0066566
