                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.15064,                0.84658,                0.91581,                0.77505,                0.95716,                  0.995,                  0.995,                0.27501,                0.98261,                0.38753,                 0.0973,                 0.0003,                 0.0003
                      1,                0.13729,                0.72883,                0.90315,                0.76396,                0.99127,                  0.995,                0.99112,                 0.2717,                0.93295,                0.38573,               0.093693,             0.00069307,             0.00069307
                      2,                0.12224,                0.70769,                0.93245,                 0.8066,                  0.981,                  0.995,                0.98251,                0.28912,                0.90483,                0.40011,               0.090078,              0.0010782,              0.0010782
                      3,                0.13112,                0.75068,                 0.9095,                0.67488,                0.96875,                0.98875,                0.97626,                0.28738,                 1.0296,                0.37851,               0.086455,              0.0014555,              0.0014555
                      4,                0.12723,                0.70058,                0.91513,                0.66124,                0.92838,                0.98875,                0.98875,                0.23365,                 1.0304,                0.34852,               0.082825,              0.0018248,              0.0018248
                      5,                0.14783,                0.68257,                0.90547,                0.87939,                   0.75,                0.98589,                0.97567,                0.24873,                 1.2042,                0.38176,               0.079186,              0.0021861,              0.0021861
                      6,                0.14087,                0.80912,                0.91299,                0.92069,                0.82218,                  0.995,                0.98956,                0.25117,                0.86432,                0.38683,                0.07554,              0.0025396,              0.0025396
                      7,                 0.1613,                 0.7141,                0.93469,                0.82666,                      1,                  0.995,                0.98564,                0.27288,                0.74796,                0.41966,               0.071885,              0.0028852,              0.0028852
                      8,                0.14707,                0.71891,                0.92156,                0.84161,                      1,                  0.995,                0.98564,                0.26234,                0.70138,                0.40301,               0.068223,              0.0032228,              0.0032228
                      9,                 0.1616,                 0.7271,                0.90785,                0.72374,                      1,                 0.9825,                0.97565,                0.28978,                0.83469,                0.44722,               0.064553,              0.0035525,              0.0035525
                     10,                0.16442,                0.67213,                0.90021,                0.84248,                0.97665,                  0.995,                 0.9919,                0.30032,                0.76853,                0.45228,               0.060874,              0.0038743,              0.0038743
                     11,                0.19403,                0.70745,                0.92014,                0.62131,                 0.9375,                0.92229,                0.85789,                0.39389,                 1.0862,                0.51888,               0.057188,              0.0041882,              0.0041882
                     12,                0.17689,                0.73857,                0.93158,                0.88665,                   0.75,                0.85808,                0.75047,                0.43791,                  1.284,                0.59435,               0.053494,              0.0044941,              0.0044941
                     13,                0.17133,                0.74279,                0.90526,                0.88586,                0.73426,                0.92229,                 0.9203,                0.29078,                 1.3795,                0.44317,               0.049792,              0.0047922,              0.0047922
                     14,                0.19034,                0.72553,                 0.9281,                0.70154,                0.86928,                0.89135,                0.84346,                0.34793,                 1.1811,                0.51821,               0.046082,              0.0050823,              0.0050823
                     15,                0.19529,                0.72357,                0.91842,                0.88194,                  0.875,                0.93281,                0.88534,                0.33237,                  1.192,                0.49581,               0.042364,              0.0053644,              0.0053644
                     16,                0.21483,                0.69525,                0.98385,                0.95011,                0.86055,                  0.995,                 0.9494,                0.31098,                0.79278,                0.48879,               0.038639,              0.0056387,              0.0056387
                     17,                0.20555,                0.72026,                0.92222,                0.94976,                0.98215,                  0.995,                0.96904,                0.34072,                0.75839,                 0.4948,               0.034905,              0.0059051,              0.0059051
                     18,                0.18894,                 0.6994,                0.93096,                0.92259,                0.99825,                  0.995,                0.99265,                0.30629,                 0.7626,                0.44968,               0.031163,              0.0061635,              0.0061635
                     19,                0.20964,                 0.7124,                0.91678,                  0.922,                 0.9677,                  0.995,                  0.993,                0.33277,                0.70375,                0.48214,               0.027414,               0.006414,               0.006414
                     20,                0.20563,                0.87018,                0.95041,                0.92759,                0.81292,                  0.995,                0.98699,                0.35354,                0.88307,                0.49586,               0.023657,              0.0066566,              0.0066566
                     21,                0.20083,                0.71702,                0.94384,                0.82718,                0.84765,                  0.995,                0.96934,                0.37667,                 1.1739,                0.55241,               0.019891,              0.0068913,              0.0068913
                     22,                0.25214,                0.74095,                0.97129,                0.86966,                0.66211,                0.93281,                0.85944,                0.38632,                 1.4292,                0.53624,               0.016118,               0.007118,               0.007118
                     23,                0.22448,                0.73768,                0.95917,                0.60277,                  0.875,                0.98875,                0.98875,                 0.2199,                 1.2164,                0.36146,               0.012337,              0.0073369,              0.0073369
                     24,                0.23282,                 0.7242,                0.93689,                0.60029,                  0.875,                0.96896,                0.96896,                0.22495,                 1.3372,                 0.3692,              0.0085478,              0.0075478,              0.0075478
                     25,                0.24162,                0.85381,                0.95174,                0.71638,                0.83176,                  0.995,                  0.995,                0.25123,                 1.2647,                0.41428,               0.007525,               0.007525,               0.007525
                     26,                0.21126,                0.77805,                0.95792,                0.96203,                0.86907,                  0.995,                  0.995,                0.27704,                 0.8525,                0.41161,               0.007525,               0.007525,               0.007525
                     27,                0.22656,                0.81372,                0.97495,                0.93745,                0.87081,                  0.995,                  0.995,                0.26309,                 0.8773,                0.40328,               0.007426,               0.007426,               0.007426
                     28,                0.23768,                 0.7657,                0.96167,                0.95498,                  0.875,                  0.995,                  0.995,                 0.3701,                0.89598,                0.55366,               0.007327,               0.007327,               0.007327
                     29,                0.24999,                 0.6971,                0.94524,                0.77417,                  0.875,                  0.995,                0.94744,                0.34623,                 1.0735,                0.49476,               0.007228,               0.007228,               0.007228
                     30,                0.23123,                0.83387,                  0.944,                0.70752,                   0.75,                0.93271,                0.89307,                0.40649,                 1.3323,                0.58956,               0.007129,               0.007129,               0.007129
                     31,                0.20318,                0.76632,                0.95535,                0.67976,                0.99281,                0.97417,                0.89871,                0.48953,                 1.0642,                0.69086,                0.00703,                0.00703,                0.00703
                     32,                0.20533,                0.85873,                0.96356,                0.87402,                0.94556,                0.93281,                0.90476,                0.34063,                 1.1496,                0.47727,               0.006931,               0.006931,               0.006931
                     33,                0.21399,                 0.7654,                0.96913,                0.73334,                0.98723,                0.91208,                0.88718,                0.34943,                 1.2008,                0.49835,               0.006832,               0.006832,               0.006832
                     34,                0.22511,                0.87884,                 0.9492,                0.68956,                0.84665,                0.90616,                0.86864,                0.39138,                 1.3609,                0.53815,               0.006733,               0.006733,               0.006733
                     35,                0.25642,                0.78442,                0.96787,                0.86046,                  0.875,                0.91198,                0.86719,                0.46449,                 1.1564,                0.59243,               0.006634,               0.006634,               0.006634
                     36,                0.21676,                0.76972,                0.94181,                 0.8864,                0.81157,                0.97417,                0.94581,                0.40947,                 1.1414,                0.53694,               0.006535,               0.006535,               0.006535
                     37,                0.23391,                0.71527,                0.94157,                 0.6389,                 0.9375,                0.97417,                0.95225,                0.35778,                  1.042,                0.47028,               0.006436,               0.006436,               0.006436
                     38,                0.22038,                0.71873,                0.95335,                0.65027,                0.97462,                0.93281,                0.90174,                0.40199,                 1.1279,                0.53118,               0.006337,               0.006337,               0.006337
                     39,                0.25344,                0.77878,                0.95377,                0.62572,                0.96428,                0.91746,                0.88869,                0.41984,                 1.1222,                0.54985,               0.006238,               0.006238,               0.006238
                     40,                 0.2383,                0.72048,                0.97609,                0.84023,                 0.8125,                0.94967,                0.90948,                0.46311,                  1.237,                0.57841,               0.006139,               0.006139,               0.006139
                     41,                0.20314,                0.73052,                0.96988,                0.87366,                0.90726,                0.97958,                0.95839,                0.34935,                 1.0732,                0.46833,                0.00604,                0.00604,                0.00604
                     42,                0.21738,                0.71599,                0.95758,                0.75736,                0.93873,                0.95739,                 0.9392,                0.42939,                 1.1697,                0.56513,               0.005941,               0.005941,               0.005941
                     43,                0.23097,                0.66535,                 0.9771,                0.74287,                0.97932,                  0.995,                0.95954,                0.37668,                0.92348,                0.49941,               0.005842,               0.005842,               0.005842
                     44,                0.20232,                0.68721,                0.94652,                0.77729,                0.62227,                0.71868,                0.41788,                 1.1554,                 2.5417,                 1.0987,               0.005743,               0.005743,               0.005743
                     45,                0.20371,                0.64753,                0.93766,                0.47471,                0.90543,                0.74391,                0.31901,                 1.5308,                 3.1048,                  1.547,               0.005644,               0.005644,               0.005644
                     46,                0.21437,                 0.7203,                0.93045,                0.50581,                0.85179,                 0.7496,                0.33404,                 1.6323,                 3.4622,                 1.5986,               0.005545,               0.005545,               0.005545
                     47,                 0.2224,                0.73714,                0.93204,                0.67939,                0.62011,                0.75317,                0.56183,                 1.0126,                  2.505,                 1.0178,               0.005446,               0.005446,               0.005446
                     48,                0.20901,                0.72484,                0.99413,                0.61887,                0.79114,                0.72154,                0.64916,                0.68873,                 2.0119,                0.78723,               0.005347,               0.005347,               0.005347
                     49,                0.18283,                0.72162,                0.91705,                0.82267,                0.83565,                0.98018,                0.94212,                0.40702,                 1.2429,                 0.5358,               0.005248,               0.005248,               0.005248
                     50,                0.22298,                0.67651,                0.94279,                0.86516,                 0.8355,                0.94854,                0.94386,                0.34224,                 1.3245,                0.48058,               0.005149,               0.005149,               0.005149
                     51,                 0.1812,                0.64684,                0.92168,                0.88391,                  0.875,                  0.995,                0.99229,                0.29754,                  1.084,                0.42571,                0.00505,                0.00505,                0.00505
                     52,                0.17557,                0.62381,                0.93491,                0.94861,                      1,                  0.995,                  0.995,                0.31951,                0.65529,                0.44983,               0.004951,               0.004951,               0.004951
                     53,                0.18238,                0.66654,                0.94991,                0.96278,                0.99295,                  0.995,                0.98573,                0.32644,                0.64798,                0.47313,               0.004852,               0.004852,               0.004852
                     54,                0.22177,                0.73226,                0.93444,                0.93635,                 0.9496,                  0.995,                0.98611,                0.35026,                0.75677,                0.50173,               0.004753,               0.004753,               0.004753
                     55,                0.21052,                0.61331,                0.95589,                0.89461,                0.95884,                0.99214,                0.97147,                 0.3956,                0.91771,                0.55489,               0.004654,               0.004654,               0.004654
                     56,                0.18173,                0.60458,                 0.9327,                0.83799,                      1,                0.98607,                0.96608,                0.36955,                 1.3374,                0.54038,               0.004555,               0.004555,               0.004555
                     57,                 0.1801,                0.64114,                0.92884,                0.77434,                0.94775,                0.98875,                0.98214,                0.37554,                 1.3579,                0.55229,               0.004456,               0.004456,               0.004456
                     58,                0.17976,                0.64256,                0.95294,                0.95695,                      1,                  0.995,                0.98486,                 0.3766,                0.89809,                0.56877,               0.004357,               0.004357,               0.004357
                     59,                0.18206,                0.60504,                0.91728,                0.97547,                      1,                  0.995,                0.98251,                0.29892,                0.69607,                0.48854,               0.004258,               0.004258,               0.004258
                     60,                0.19158,                0.60687,                0.94497,                0.97443,                      1,                  0.995,                  0.995,                0.28407,                0.71288,                0.42982,               0.004159,               0.004159,               0.004159
                     61,                0.18301,                0.56647,                0.94703,                0.95674,                      1,                  0.995,                  0.995,                0.26755,                0.75771,                0.41495,                0.00406,                0.00406,                0.00406
                     62,                0.16131,                0.59377,                0.92314,                0.75479,                0.96668,                  0.995,                  0.995,                0.26307,                0.93301,                0.39178,               0.003961,               0.003961,               0.003961
                     63,                0.18145,                0.61574,                0.93726,                0.78544,                0.91528,                  0.995,                 0.9919,                0.25813,                0.94248,                0.39202,               0.003862,               0.003862,               0.003862
                     64,                 0.1725,                0.64892,                0.91406,                0.85994,                0.97643,                  0.995,                0.98722,                 0.2626,                0.76634,                0.40363,               0.003763,               0.003763,               0.003763
                     65,                0.14452,                0.59966,                0.92828,                0.91139,                      1,                  0.995,                0.95765,                0.29266,                0.72117,                0.48794,               0.003664,               0.003664,               0.003664
                     66,                0.17523,                0.58912,                0.93621,                0.96268,                      1,                  0.995,                0.96076,                0.30009,                0.72136,                0.50139,               0.003565,               0.003565,               0.003565
                     67,                0.16493,                0.58471,                0.93707,                0.95774,                      1,                  0.995,                0.95765,                0.30441,                0.72432,                0.49048,               0.003466,               0.003466,               0.003466
                     68,                0.17724,                0.63026,                0.94901,                0.93907,                      1,                  0.995,                0.97399,                0.30543,                0.74344,                0.46557,               0.003367,               0.003367,               0.003367
                     69,                0.14925,                0.62654,                0.91805,                0.89785,                      1,                  0.995,                0.97398,                 0.3116,                0.76296,                0.49076,               0.003268,               0.003268,               0.003268
                     70,                0.13481,                0.55534,                0.92078,                0.85564,                      1,                  0.995,                0.97634,                0.31177,                 0.7396,                0.51143,               0.003169,               0.003169,               0.003169
                     71,                0.14196,                0.59267,                0.93497,                 0.9354,                      1,                  0.995,                0.96881,                0.30473,                0.68585,                0.48531,                0.00307,                0.00307,                0.00307
                     72,                0.16332,                0.63448,                0.93398,                0.97042,                      1,                  0.995,                0.96681,                0.32046,                0.71409,                0.48663,               0.002971,               0.002971,               0.002971
                     73,                0.14198,                0.54864,                0.91546,                0.95694,                      1,                0.99214,                0.96425,                0.34255,                0.73598,                0.50224,               0.002872,               0.002872,               0.002872
                     74,                0.14413,                0.52678,                0.94557,                0.97751,                      1,                  0.995,                0.98656,                0.36063,                0.75656,                0.49721,               0.002773,               0.002773,               0.002773
                     75,                0.13279,                0.58551,                0.92494,                0.96751,                      1,                  0.995,                0.99265,                0.33489,                0.78391,                0.46294,               0.002674,               0.002674,               0.002674
                     76,                0.12649,                 0.5516,                0.91407,                0.97755,                      1,                  0.995,                0.98875,                0.27718,                0.70193,                0.40523,               0.002575,               0.002575,               0.002575
                     77,                0.12646,                0.54542,                0.90735,                0.95702,                      1,                  0.995,                  0.995,                0.23516,                0.60705,                0.34757,               0.002476,               0.002476,               0.002476
                     78,                0.13921,                0.49647,                0.92293,                0.95671,                      1,                  0.995,                  0.995,                0.22852,                0.58951,                0.34235,               0.002377,               0.002377,               0.002377
                     79,                0.12741,                0.51607,                0.91447,                0.95965,                      1,                  0.995,                0.97627,                0.26417,                0.63236,                0.37999,               0.002278,               0.002278,               0.002278
                     80,                0.13856,                0.56276,                0.93727,                 0.9624,                0.96839,                  0.995,                0.97627,                0.27374,                0.65228,                0.39065,               0.002179,               0.002179,               0.002179
                     81,                0.11803,                0.48421,                0.90693,                0.94797,                0.99654,                  0.995,                0.98876,                 0.2543,                0.62706,                0.37235,                0.00208,                0.00208,                0.00208
                     82,                0.12111,                 0.4554,                0.90567,                0.95881,                0.99748,                  0.995,                0.98876,                0.26574,                 0.6186,                0.38724,               0.001981,               0.001981,               0.001981
                     83,                0.12246,                0.54167,                 0.8973,                0.97364,                      1,                  0.995,                0.99111,                0.27149,                0.62074,                0.39616,               0.001882,               0.001882,               0.001882
                     84,                0.11458,                0.48297,                0.90644,                0.97317,                      1,                  0.995,                0.98487,                0.29252,                0.62652,                0.41546,               0.001783,               0.001783,               0.001783
                     85,                0.12337,                 0.5089,                0.93299,                0.97496,                      1,                  0.995,                0.98487,                0.31103,                0.63445,                0.43205,               0.001684,               0.001684,               0.001684
                     86,                0.10842,                 0.4788,                0.90558,                 0.9752,                      1,                  0.995,                0.97243,                0.33174,                0.67549,                0.44839,               0.001585,               0.001585,               0.001585
                     87,                0.12009,                0.54031,                0.88342,                0.97272,                      1,                  0.995,                0.98054,                 0.3039,                0.64005,                0.41937,               0.001486,               0.001486,               0.001486
                     88,                0.10872,                0.50743,                0.91171,                0.97076,                      1,                  0.995,                0.98253,                0.29012,                0.61145,                0.40439,               0.001387,               0.001387,               0.001387
                     89,                0.11517,                0.50704,                 0.8854,                0.96533,                      1,                  0.995,                0.98487,                0.27811,                0.60305,                0.39649,               0.001288,               0.001288,               0.001288
                     90,                0.09742,                0.51133,                0.90116,                0.96727,                      1,                  0.995,                0.98877,                0.26135,                0.59087,                0.38388,               0.001189,               0.001189,               0.001189
                     91,                0.09622,                0.45918,                0.92543,                0.96858,                      1,                  0.995,                0.98877,                0.27268,                0.59141,                0.39513,                0.00109,                0.00109,                0.00109
                     92,                0.09758,                0.47268,                0.91734,                 0.9716,                      1,                  0.995,                  0.995,                0.25573,                0.56973,                 0.3753,               0.000991,               0.000991,               0.000991
                     93,                0.09463,                0.44042,                0.89872,                0.96906,                0.99011,                  0.995,                  0.995,                0.24624,                0.56772,                0.36534,               0.000892,               0.000892,               0.000892
                     94,                0.09734,                0.49702,                0.91558,                0.97161,                0.98041,                  0.995,                  0.995,                0.24272,                0.56036,                 0.3635,               0.000793,               0.000793,               0.000793
                     95,                 0.1054,                0.44192,                 0.9191,                 0.9737,                0.97704,                  0.995,                  0.995,                0.23809,                0.56348,                0.35944,               0.000694,               0.000694,               0.000694
                     96,                0.09923,                0.46226,                0.88281,                0.97399,                 0.9744,                  0.995,                  0.995,                0.23942,                0.56754,                0.36121,               0.000595,               0.000595,               0.000595
                     97,                0.09096,                0.50113,                0.91476,                0.97385,                0.97288,                  0.995,                  0.995,                 0.2438,                0.56764,                 0.3663,               0.000496,               0.000496,               0.000496
                     98,                0.09655,                0.42288,                0.92253,                0.97479,                0.97308,                  0.995,                  0.995,                0.24773,                0.57638,                0.37024,               0.000397,               0.000397,               0.000397
                     99,                0.08957,                0.44526,                0.91646,                0.97538,                0.97374,                  0.995,                  0.995,                0.24676,                0.57925,                0.36841,               0.000298,               0.000298,               0.000298
